epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05559,3.36619,11.4342,1.53458,0,0,0,0,4.45803,12.6732,1.31,2e-05,2e-05,2e-05
2,7.22525,3.19083,8.4543,1.62607,0,0,0,0,4.3991,12.6653,1.30909,5.406e-05,5.406e-05,5.406e-05
3,8.70631,3.30928,10.3566,1.49849,0,0,0,0,4.28727,12.733,1.30685,8.02e-05,8.02e-05,8.02e-05
4,10.1654,3.47238,22.2723,1.6723,0,0,0,0,4.0903,12.6269,1.29882,9.842e-05,9.842e-05,9.842e-05
5,11.6097,4.11809,23.6182,1.77184,0,0,0,0,3.98964,12.72,1.29746,0.00010872,0.00010872,0.00010872
6,13.1349,3.24017,10.7155,1.5462,0.00925,0.11111,0.00356,0.00071,4.45339,48.566,1.50888,0.0001111,0.0001111,0.0001111
7,15.4729,3.46596,22.036,1.31534,0.01235,0.11111,0.00375,0.00037,4.45569,46.5983,1.51464,0.00010556,0.00010556,0.00010556
8,17.2123,3.72613,42.6855,1.34993,0.01006,0.11111,0.00365,0.00037,4.54422,44.7792,1.52362,9.21e-05,9.21e-05,9.21e-05
9,19.7486,2.8379,13.0844,1.51377,0.00167,0.22222,0.00106,0.00025,4.18817,31.0288,1.45697,7.072e-05,7.072e-05,7.072e-05
10,22.1062,3.312,11.4849,1.31237,0,0,0,0,4.49226,21.0695,1.48415,4.142e-05,4.142e-05,4.142e-05
